site,KorbenInfo,Korben,https://korben.info/feed,informatique:kbn
youtube,Les Freres Codeurs,FreresCodeurs,UCWKyakTmFf38Sv0cD8MNzzg,developpement:informatique:code:codeur
youtube,Leo TechMaker,LeoTechMaker,UCRhyS_ylPQ5GWBl1lK92ftA,informatique:technologie
youtube,Sandoz,SandozProd,UCnC8KCcp2-DYfPY4_bKIc0A,secu:informatique:hacker
youtube,Waked XY,Wakedxy1,UCylsBYnCc7-hWFllb1fkjpQ,secu:developpement:hacker
youtube,Raphael Rollet, ,UCJZkKNgLmASmb9EvLQU2saQ,developpement:code:codeur
youtube,Tech2Tech - Mikael,Tech2TechFR,UC4wj8LCLrOfgKrOVDLW4yOA,informatique:vulgarisation
youtube,Captain Web, ,UC2WyuHOgqy4zcrxOkD_zP_g,developpement:code:codeur
youtube,Approuved-tech, ,UCnoJwiZ_2RfY26jQjcHZftA,informatique
youtube,Game Dev Alliance,gamedevalliance,UCCjlo6Ihet_T3X6bKLJzPsA,developpement:code:codeur
youtube,Processus Thief,ProcessusT,UCqrxDV9EPOlI1YMhzIPed2g,secu:hacker
youtube,Micodeux,Micode,UCc3auP4KRed7dDBQEtYslbw,developpement:informatique:technologie
youtube,Développeuse Du Dimanche,dev_dimanche,UCVf2py0nEmhiUH7pryhZdyg,developpement:code:codeur
youtube,InterGalac'Geek, ,UCwhtjaoJb4WOOBMNVVPpdhw,informatique:technologie:maker:numerique
youtube,ComptoirSecu,comptoirsecu,UCF-ljS9G2ABgsN7P83WDFhQ,secu:hacker:informatique
youtube,Cookie connecte,Cookieconnecte,UC5cs06DgLFeyLIF_II7lWCQ,informatique:vulgarisation
youtube,Tech To Shen, ,UCQrsppGdgB7m-masWzfDPQw,informatique
youtube,U꞊RI, ,UCVqx3vXNghSqUcVg2nmegYA,informatique
youtube,ElectronikHeart,ElectronikHeart,UCUJQSGHlYC9Xyz-uNfSpSsA,informatique:technologie
youtube,Astral 8, ,UCO2INfydOI5oEoXW7vwT0gw,informatique
youtube,Micode,Micode,UCYnvxJ-PKiGXo_tYXpWAC-w,informatique
youtube,Mike Codeur,MikeCodeur,UC7BNBNLwMF8GjgXLDP8PWQw,developpement:code:codeur:freelance:numerique
youtube,Les Technos,LesTechnos,UCl3cD1HfpwQgPmjgXBNI6Kw,informatique:technologie:numerique
youtube,Underscore_,UnderscoreTalk,UCWedHS9qKebauVIK2J7383g,informatique:technologie
youtube,GOODWIN,GOODWIN_YT,UCzLkeUSipfOtSC9of-Q0yiQ,informatique:technologie:imprimante3D:maker
youtube,Waked XY,Wakedxy1,UChQjbzNlo8xD154bJS3yb8A,secu
youtube,Michel Kartner,LeBlogDuHacker,UCZevW3w8UMya8M_ZqUaVlSw,secu:hacker
site,Taverne de JohnJohn, ,https://www.jonathandupre.fr/syndication/rss/articles/0,informatique
site,Linux Tricks,_adriend_,https://www.linuxtricks.fr/syndication/rss/news,informatique
site,Blog de Seboss666,seboss666,https://blog.seboss666.info/feed/,informatique:technologie
site,Le Crabe info,lecrabeinfo,https://lecrabeinfo.net/feed,informatique
site,memo linux,memo_linux,https://memo-linux.com/feed/,informatique
youtube,ici amyplant,iciamyplant,UC9wzC5mFFcIdguoyveTo6Ng,developpement:code:codeur
site,blog touret,touret_alex,https://blog.touret.info/feed/,informatique
site,tech2tech,tech2techFr,https://www.tech2tech.fr/feed/,informatique
youtube,Webosaure,korben,UCu34Tq5qMR-FiTYwLyy9U6w,informatique:technologie
site,tuto informatique, ,https://www.tutos-informatique.com/feed/,informatique
youtube,Scrotumdepoulpe,scrotumdepoulpe,UCuTp2uEpeFxZ-XMsga_mexg,technologie:maker:vulgarisation
youtube,Heliox,Heliox_Lab,UCPFChjpOgkUqckj3378jt5w,technologie:imprimante3D:maker
youtube,abrege, ,UCWimnuBF27nwOxgUBJ4qNeg,imprimante3D:technologie:maker
youtube,furrtek,furrtek,UCnwXl6NYDDiYsTQSKDJK7KQ,technologie:informatique:developpement
youtube,Defend Intelligence,DFintelligence,UCnEHCrot2HkySxMTmDPhZyg,informatique
youtube,Tommy Desrochers,TD72PRO,UC9_nxvBohH1G2yR77XTdA2g,imprimante3D:maker
youtube,Nowtech,nowtechtv,UCVwG9JHqGLfEO-4TkF-lf2g,informatique:technologie
youtube,Harry JMG,harry_jmg,UC61GK_nOLSJdzAK5hoR2mJA,informatique:developpement:code:codeur:freelance
youtube,Cocadmin,cocadmin,UCVRJ6D343dX-x730MRP8tNw,informatique:developpement:code:codeur
peertube,Processus Thief,ProcessusT,https://peertube.lestutosdeprocessus.fr/feeds/videos.xml,informatique:hacker:secu
peertube,wakedxy,Wakedxy1,https://peertube.lestutosdeprocessus.fr/feeds/videos.xml,informatique:hacker:secu
peertube,Hakintux,Hackintux1,https://peertube.lestutosdeprocessus.fr/feeds/videos.xml,informatique:hacker:secu
youtube,Hackintux,Hackintux1,UCasgryuegAnsvZ4CZlBL9ZQ,informatique:hacker:secu
peertube,John-John, ,https://video.latavernedejohnjohn.fr/feeds/videos.xml,informatique:technologie
youtube,UnderLearn, ,UCJZkKNgLmASmb9EvLQU2saQ,informatique:dev
youtube,Je suis un dev,jesuisundev,UCo0zOE8DcrRGbwvr4Q_eMsQ,developpement:code:codeur
youtube,Developpeur Libre, ,UCjDg7LaaMzmuhj6I1jTzb1Q,developpement:informatique:code:codeur:freelance
youtube,TenchiGreed, ,UCNCEhPz2cbwMZ4r56_N_vKQ,developpement:informatique:code:reseau:technologie
youtube,Basti Ui,BastiUi,UCnnlP34CpT7nlBZS5KuuhbA,code:developpement:codeur:ui:ux:numerique
youtube,Khaos Farbauti Ibn Oblivion,khaos_farbauti,UCsRIv1fsbnQRIPKmUQbRzZg,ctf:secur:hack:informatique
youtube,Grafikart,grafikart_fr,UCj_iGliGCkLcHSZ8eqVNPDQ,code:developpement:codeur:tuto:informatique
youtube,Graven - Developpement,Gravenilvec,UCIHVyohXw6j2T-83-uLngEg,code:developpement:codeur:tuto:informatique
youtube,Lior Chamla,LiiorC,UCS71mal_TkTW_PpZR9YLpIA,code:developpement:codeur:tuto:informatique
youtube,John Taieb,johntaieb,UC0FIKAE7xORm6Y91kWbg4cA,code:developpement:codeur:tuto:informatique
youtube,Antho Welc,AnthoWelc,UChhPkjgG1-iLUOmURGdgQrw,code:developpement:codeur:tuto:informatique
youtube,Le Designer du Web,Learn_To_Create,UCMFbNXUkjSUJ6WC20tGTzJg,code:developpement:codeur:tuto:informatique
youtube,Coder C'est Cool - Hugo Taschet,hugo_cccool,UC6xa4ATj7MiusIm3UgXTM0g,code:developpement:codeur:tuto:informatique
youtube,DevTheory,devtheory_,UCgJERWtcvu-JiPq5wBkYF1g,code:developpement:codeur:tuto:informatique
youtube,codeconcept,codeconcept2,UCY_guo_AYBs0cIkeMVc16iw,code:developpement:codeur:tuto:informatique
youtube,codeur-pro,codeur_pro,UCEudr1OmaKgx13INQCrNS6g,code:developpement:codeur:tuto:informatique
youtube,La Tech avec Bertrand, ,UCtIGSt6iI8UzmM66dNWICjw,code:developpement:codeur:tuto:informatique
youtube,LES TEACHERS DU NET,TEACHERSDUNET,UCzuaB4F2znrMggxcwUuVhAw,code:developpement:codeur:tuto:informatique
youtube,YoanDev,yOyO38,UCRlsJWh1XwmNGxZPFgJ0Zlw,code:developpement:codeur:tuto:informatique:actu
youtube,Pierre Miniggio,PierreMiniggio,UCKbunxMnqxM8UFMEYF79CUQ,code:developpement:codeur:tuto:informatique
youtube,PrimFX,borisflesch,UCUSRY5EcZAhSbz1Q1QuQw0w,code:developpement:codeur:tuto:informatique
youtube,Driss AS, ,UCG1gQ5uOYAP8InWyW_AdkOg,code:developpement:codeur:tuto:informatique
youtube,From Scratch - Developpement Web,KobeKenjo,UCHGLV13U7YRbjrKpqfbtyYg,code:developpement:codeur:tuto:informatique
youtube,Docstring,ThibaultHoudon,UCo2zkK2d_frGSXctIkftALw,code:developpement:codeur:tuto:informatique
youtube,FormationVideo,jachampagne8,UCS2e0hEJMhwd6bNscS60xTg,code:developpement:codeur:tuto:informatique
youtube,Le GueroLoco,LeGueroLoco,UCrFGsH4pplqjFXJqLcjykNQ,imprimante3D:tech:maker
youtube,xavki, ,UCs_AZuYXi6NA9tkdbhjltHQ,tuto:code:informatique:developpement
youtube,millomaker, ,UChFaUrD7t1JQ0w7rObWhIRA,informatique:maker:imprimante3D
youtube,Kaelbel,Kaelbel_Tweet,UCjqwwA3kPS0_pMuF-YkCn6Q,informatique:tech:review
site,jesuisundev,jesuisundev,https://www.jesuisundev.com/feed/,informatique:developpement:dev
youtube,Adrien Linuxtricks,_adriend_,UCDKPGD9T00eS_l--D_DRTUQ,code:developpement:codeur:tuto:informatique
